                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.88532,                0.66188,                 1.2235,                0.91656,                0.89531,                0.95183,                0.66071,                 1.1036,                0.62407,                 1.5143,              0.0099099,              0.0099099,              0.0099099
                     93,                0.87675,                0.66169,                 1.2142,                0.84943,                0.88583,                0.91836,                0.62856,                 1.1309,                0.65276,                 1.5357,              0.0099089,              0.0099089,              0.0099089
                     94,                0.86007,                0.64973,                 1.1957,                0.90923,                0.90321,                0.94292,                0.63667,                 1.1633,                0.66485,                 1.5837,              0.0099079,              0.0099079,              0.0099079
                     95,                0.86185,                 0.6549,                 1.2076,                0.92021,                0.90173,                0.94563,                0.63254,                 1.1116,                0.61707,                 1.5241,              0.0099069,              0.0099069,              0.0099069
                     96,                0.87145,                0.63421,                 1.2015,                0.92695,                0.90732,                0.94513,                0.64247,                 1.1385,                0.64232,                 1.5403,               0.009906,               0.009906,               0.009906
                     97,                0.86365,                0.64358,                  1.195,                0.91081,                0.90157,                 0.9411,                0.63946,                 1.1536,                0.64368,                 1.5989,               0.009905,               0.009905,               0.009905
                     98,                0.87934,                0.66385,                 1.2161,                0.88328,                0.90314,                0.93029,                0.62087,                 1.1502,                0.65008,                 1.5894,               0.009904,               0.009904,               0.009904
                     99,                0.85378,                0.63529,                  1.201,                0.91758,                0.91482,                0.94137,                0.64592,                  1.122,                0.69355,                 1.5477,               0.009903,               0.009903,               0.009903
                    100,                 0.8533,                0.63354,                 1.1942,                0.93951,                  0.902,                0.95321,                0.64282,                 1.1184,                0.62783,                 1.5524,               0.009902,               0.009902,               0.009902
                    101,                0.84733,                0.63827,                 1.2013,                0.93939,                0.91829,                0.94656,                0.62563,                 1.1587,                0.67598,                 1.5579,               0.009901,               0.009901,               0.009901
                    102,                0.85639,                0.62856,                 1.2021,                0.90849,                 0.8995,                0.92848,                0.61985,                 1.1883,                0.65533,                 1.5914,                 0.0099,                 0.0099,                 0.0099
                    103,                0.84814,                0.63314,                  1.192,                0.91908,                 0.8825,                 0.9253,                0.61756,                 1.1824,                0.70683,                  1.615,               0.009899,               0.009899,               0.009899
                    104,                0.82946,                0.63675,                  1.187,                0.91956,                0.90361,                0.94207,                0.62939,                 1.1462,                0.66447,                 1.5554,               0.009898,               0.009898,               0.009898
                    105,                0.83574,                0.61539,                 1.1879,                0.91091,                0.91291,                0.93665,                0.63027,                 1.1742,                0.65113,                 1.5684,               0.009897,               0.009897,               0.009897
                    106,                0.85165,                0.63887,                 1.1998,                0.92496,                 0.9198,                0.94617,                0.63518,                 1.1786,                0.65647,                  1.571,              0.0098961,              0.0098961,              0.0098961
                    107,                0.82654,                 0.6112,                 1.1927,                0.87899,                0.92225,                0.93635,                   0.64,                 1.1194,                 0.6221,                 1.5268,              0.0098951,              0.0098951,              0.0098951
                    108,                0.83672,                0.60552,                 1.1929,                0.89782,                0.89726,                0.92952,                0.63337,                 1.1274,                0.62834,                 1.5394,              0.0098941,              0.0098941,              0.0098941
                    109,                0.83186,                0.60223,                  1.184,                0.90228,                0.91233,                0.94951,                0.64233,                 1.1301,                0.62279,                 1.5521,              0.0098931,              0.0098931,              0.0098931
                    110,                0.82683,                0.60986,                 1.1714,                0.94704,                0.90025,                0.94925,                 0.6568,                  1.122,                0.63192,                 1.5601,              0.0098921,              0.0098921,              0.0098921
                    111,                0.83724,                0.62218,                 1.1831,                0.89205,                0.92418,                 0.9305,                0.63719,                 1.1397,                  0.663,                 1.5553,              0.0098911,              0.0098911,              0.0098911
                    112,                0.82372,                0.62026,                 1.1785,                0.95403,                0.86129,                0.94024,                0.64755,                 1.1108,                0.62443,                  1.547,              0.0098901,              0.0098901,              0.0098901
                    113,                 0.8304,                0.61614,                 1.1916,                0.90606,                0.91402,                0.94152,                0.65632,                 1.0882,                0.61399,                 1.4849,              0.0098891,              0.0098891,              0.0098891
                    114,                0.82416,                0.61011,                 1.1756,                0.88104,                0.90838,                0.94081,                0.64271,                 1.1259,                0.62361,                 1.5377,              0.0098881,              0.0098881,              0.0098881
                    115,                0.80527,                0.57985,                 1.1737,                0.89421,                0.86665,                0.92723,                0.62775,                 1.1591,                0.61812,                 1.5558,              0.0098871,              0.0098871,              0.0098871
                    116,                0.82035,                0.58324,                 1.1708,                0.91452,                0.91927,                0.94443,                0.65182,                 1.1249,                0.62308,                  1.525,              0.0098861,              0.0098861,              0.0098861
                    117,                0.79819,                0.58013,                 1.1607,                0.91804,                 0.9158,                0.95149,                0.65525,                 1.1213,                0.63646,                 1.5329,              0.0098852,              0.0098852,              0.0098852
                    118,                 0.8346,                0.60318,                 1.1948,                0.89059,                0.88007,                0.94813,                0.64277,                 1.1367,                0.64094,                 1.5434,              0.0098842,              0.0098842,              0.0098842
                    119,                0.80252,                0.60467,                 1.1718,                0.91912,                0.90911,                0.94559,                0.65392,                 1.1376,                0.62986,                 1.5449,              0.0098832,              0.0098832,              0.0098832
                    120,                  0.807,                0.60016,                 1.1872,                0.94942,                0.89573,                0.94926,                0.66046,                  1.112,                0.58573,                 1.5002,              0.0098822,              0.0098822,              0.0098822
                    121,                0.80322,                0.60784,                  1.176,                0.95184,                 0.9227,                 0.9551,                0.64502,                 1.1427,                0.59792,                 1.5451,              0.0098812,              0.0098812,              0.0098812
                    122,                0.80437,                0.57827,                 1.1673,                0.94615,                0.90925,                0.94768,                0.64252,                 1.1432,                0.58506,                 1.5589,              0.0098802,              0.0098802,              0.0098802
                    123,                0.79441,                0.59631,                 1.1544,                0.89595,                0.92016,                0.95328,                0.65134,                 1.1205,                0.57297,                 1.5327,              0.0098792,              0.0098792,              0.0098792
                    124,                0.79587,                0.58573,                 1.1577,                0.93305,                0.88824,                0.94028,                0.66123,                 1.1002,                0.61045,                 1.5077,              0.0098782,              0.0098782,              0.0098782
                    125,                0.77935,                0.56827,                 1.1497,                0.92075,                0.90603,                0.96016,                0.64596,                 1.1205,                0.59785,                 1.5345,              0.0098772,              0.0098772,              0.0098772
                    126,                0.82216,                0.59939,                 1.1828,                0.92251,                0.91521,                0.94392,                0.63935,                 1.1381,                0.61049,                 1.5642,              0.0098763,              0.0098763,              0.0098763
                    127,                0.76734,                0.57416,                 1.1542,                0.94439,                0.90399,                0.94208,                0.65885,                 1.0889,                0.60121,                 1.4957,              0.0098753,              0.0098753,              0.0098753
